ref,title,denomination,address,commune,insee,departement,region,century,protection,latitude,longitude,coord_source,coord_score,coord_label,coord_check,notice_url
IA00043240,Demeure dite Maison des Soeurs Grises,demeure,25 rue Baron de Chantal,Saint-Martin-de-Ré,17369,17,Nouvelle-Aquitaine,,,46.203725,-1.367456,ban,0.955,25 Rue Baron de Chantal 17410 Saint-Martin-de-Ré,ok,https://pop.culture.gouv.fr/notice/merimee/IA00043240
IA00043342,Maison,maison,38 rue de l'Hôpital,Saint-Martin-de-Ré,17369,17,Nouvelle-Aquitaine,,,46.201392,-1.366017,ban,0.958,38 Rue de l'Hopital 17410 Saint-Martin-de-Ré,ok,https://pop.culture.gouv.fr/notice/merimee/IA00043342
IA00043623,Hôpital,hôpital,rue de l'Hôpital,Bressuire,79049,79,Nouvelle-Aquitaine,1er quart 18e siècle; milieu 19e siècle; 20e siècle,,46.842988,-0.494499,ban,0.963,Rue de l'Hopital 79300 Bressuire,ok,https://pop.culture.gouv.fr/notice/merimee/IA00043623
IA00045901,Aumônerie,aumônerie,rue de la Paix,Chauvigny,86070,86,Nouvelle-Aquitaine,,,46.567531,0.647344,ban,0.961,Rue de la Paix 86300 Chauvigny,ok,https://pop.culture.gouv.fr/notice/merimee/IA00045901
IA00046599,Hôpital dit aussi Maison Dieu,hôpital,place du Terrier,Montmorillon,86165,86,Nouvelle-Aquitaine,4e quart 18e siècle,,46.4291,0.8939,commune,,centroïde de la commune,ok,https://pop.culture.gouv.fr/notice/merimee/IA00046599
IA00047773,Quartier de Chanoines,quartier,quartier du Château,Viviers,07346,07,Auvergne-Rhône-Alpes,Antiquité; 5e siècle; 6e siècle; 7e siècle; 11e siècle; 12e siècle; 13e siècle; 14e siècle; 15e siècle; 16e siècle; 17e siècle; 18e siècle; 19e siècle; 20e siècle,,44.4816,4.6616,commune,,centroïde de la commune,ok,https://pop.culture.gouv.fr/notice/merimee/IA00047773
IA00047827,Grenier à sel,grenier à sel,rue de l'Hospice,Viviers,07346,07,Auvergne-Rhône-Alpes,3e quart 17e siècle,,44.483691,4.688735,ban,0.95,Rue de l’Hospice 07220 Viviers,ok,https://pop.culture.gouv.fr/notice/merimee/IA00047827
IA00047862,Croix de chemin de la-Madeleine,croix de chemin,faubourg des Sautelles,Viviers,07346,07,Auvergne-Rhône-Alpes,1er quart 20e siècle,,44.486248,4.67644,ban,0.958,Faubourg des Sautelles 07220 Viviers,ok,https://pop.culture.gouv.fr/notice/merimee/IA00047862
IA00047873,"Hôpital, Hospice",hôpital; hospice,rue Jean-Baptiste Serre,Viviers,07346,07,Auvergne-Rhône-Alpes,18e siècle; 3e quart 19e siècle; 4e quart 20e siècle,,44.483985,4.689049,ban,0.952,Rue Jean Baptiste Serre 07220 Viviers,ok,https://pop.culture.gouv.fr/notice/merimee/IA00047873
IA00048146,Hôpital de la-Madeleine,hôpital,faubourg de la Madeleine,Viviers,07346,07,Auvergne-Rhône-Alpes,1ère moitié 13e siècle; 4e quart 16e siècle; 1er quart 17e siècle; 2e quart 17e siècle; 3e quart 18e siècle; 2e quart 19e siècle,,44.485542,4.682107,ban,0.953,Faubourg de la Madeleine 07220 Viviers,ok,https://pop.culture.gouv.fr/notice/merimee/IA00048146
IA00048356,Hôpital,hôpital,impasse Danton,Teil (Le),07319,07,Auvergne-Rhône-Alpes,2e moitié 16e siècle; 3e quart 17e siècle,,44.553279,4.684742,ban,0.955,Impasse Danton 07400 Le Teil,ok,https://pop.culture.gouv.fr/notice/merimee/IA00048356
IA00048496,"Hôpital Saint-Jean, Hospice Brézin, orphelinat",hôpital; orphelinat,Grande Rue () 147,Sèvres,92072,92,Île-de-France,3e quart 19e siècle; 4e quart 19e siècle,,48.8223,2.2056,commune,,centroïde de la commune,ok,https://pop.culture.gouv.fr/notice/merimee/IA00048496
IA00048543,Monument sépulcral du docteur Midrin,monument funéraire,; Garenne (rue de la) rue des Postillons,Sèvres,92072,92,Île-de-France,4e quart 19e siècle,,48.8223,2.2056,commune,,centroïde de la commune,ok,https://pop.culture.gouv.fr/notice/merimee/IA00048543
IA00048566,Hôpital (Maternité),hôpital,10 rue de l'Eglise,Garches,92033,92,Île-de-France,2e quart 20e siècle,,48.845531,2.188435,ban,0.962,10 Rue de l’Eglise 92380 Garches,ok,https://pop.culture.gouv.fr/notice/merimee/IA00048566
IA00048572,"Hospice de la Reconnaissance, puis Michel Brézin",hospice,104 boulevard Raymond Poincaré,Garches,92033,92,Île-de-France,2e quart 19e siècle; 2e quart 20e siècle,,48.83838,2.170731,ban,0.967,104 Boulevard Raymond Poincaré 92380 Garches,ok,https://pop.culture.gouv.fr/notice/merimee/IA00048572
IA00048675,fortification d'agglomération,fortification d'agglomération,,Montbéliard,25388,25,Bourgogne-Franche-Comté,11e siècle (?); 12e siècle (?); 13e siècle; 2e moitié 14e siècle; 15e siècle; 16e siècle; 1er quart 17e siècle,,47.5168,6.7834,commune,,centroïde de la commune,ok,https://pop.culture.gouv.fr/notice/merimee/IA00048675
IA00048683,hôpital,hôpital,1 rue du Château,Montbéliard,25388,25,Bourgogne-Franche-Comté,4e quart 15e siècle (détruit); 3e quart 18e siècle; 19e siècle; 1er quart 20e siècle,,47.508736,6.79703,ban,0.962,1 Rue du Château 25200 Montbéliard,ok,https://pop.culture.gouv.fr/notice/merimee/IA00048683
IA00049429,Ancien hôpital général (détruit),hôpital général,; Hôpital (ancienne rue de l') rue Pasteur,Noyon,60471,60,Hauts-de-France,2e moitié 17e siècle; 2e moitié 18e siècle; 3e quart 19e siècle,,49.578,3.0074,commune,,centroïde de la commune,ok,https://pop.culture.gouv.fr/notice/merimee/IA00049429
IA00049431,"Ancien hôpital Saint-Germain, devenue église paroissiale et cimetière Saint-Germain (détruit)",hôpital; église; cimetière,place Saint-Germain,Noyon,60471,60,Hauts-de-France,milieu 15e siècle (détruit); 18e siècle,,49.583756,2.996355,ban,0.585,Place Saint Martin 60400 Noyon,ok,https://pop.culture.gouv.fr/notice/merimee/IA00049431
IA00049884,Hôpital,hôpital,,La Grave,05063,05,Provence-Alpes-Côte d'Azur,milieu 15e siècle; 19e siècle (?),,45.04404773286151,6.301883148595768,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/IA00049884
IA00049914,Hôpital Saint-Camille,hôpital,179 boulevard Pasteur,Bry-sur-Marne,94015,94,Île-de-France,2e quart 20e siècle,,48.833535,2.525367,ban,0.972,179 Boulevard Pasteur 94360 Bry-sur-Marne,ok,https://pop.culture.gouv.fr/notice/merimee/IA00049914
IA00050025,Château,château,16 rue du Péré Lucien Aubry,Fontenay-sous-Bois,94033,94,Île-de-France,limite 17e siècle 18e siècle (détruit); 2e moitié 19e siècle; 2e quart 20e siècle,,48.846577,2.476204,ban,0.735,16 Rue du Révérend Père Lucien Aubry 94120 Fontenay-sous-Bois,ok,https://pop.culture.gouv.fr/notice/merimee/IA00050025
IA00050026,"Château, Hôpital",château; hôpital,23 rue Saint Germain,Fontenay-sous-Bois,94033,94,Île-de-France,1ère moitié 18e siècle (détruit); 4e quart 19e siècle; 1ère moitié 20e siècle,,48.849746,2.471931,ban,0.972,23 Rue Saint-Germain 94120 Fontenay-sous-Bois,ok,https://pop.culture.gouv.fr/notice/merimee/IA00050026
IA00050722,tombeau de la famille Perrochaud,tombeau,rue Firmin Blondel,Outreau,62643,62,Hauts-de-France,4e quart 19e siècle,,50.704365,1.591947,ban,0.909,Rue Firmin Blondeel 62230 Outreau,ok,https://pop.culture.gouv.fr/notice/merimee/IA00050722
IA00050913,Hôpital dit centre médical Lalance,hôpital,avenue Général de Gaulle,Lutterbach,68195,68,Grand Est,1er quart 20e siècle,,47.758848,7.284504,ban,0.694,Rue du Général de Gaulle 68460 Lutterbach,ok,https://pop.culture.gouv.fr/notice/merimee/IA00050913
IA00050941,Ecole,école,1 rue Henri-Haeffely,Pfastatt,68256,68,Grand Est,3e quart 19e siècle,,47.767618,7.30185,ban,0.962,1 Rue Henri Haeffely 68120 Pfastatt,ok,https://pop.culture.gouv.fr/notice/merimee/IA00050941
IA00050943,Maison dite hospice Israélite,maison,111 rue de la République,Pfastatt,68256,68,Grand Est,3e quart 19e siècle,,47.767953,7.306309,ban,0.969,111 Rue de la République 68120 Pfastatt,ok,https://pop.culture.gouv.fr/notice/merimee/IA00050943
IA00051419,Hôpital de Militaires,hôpital,2 rue du Docteur Christen,Vaucresson,92076,92,Île-de-France,4e quart 19e siècle,,48.837844,2.156158,ban,0.953,2 Rue du Docteur Christen 92420 Vaucresson,ok,https://pop.culture.gouv.fr/notice/merimee/IA00051419
IA00051558,Ecole dit Pensionnat Sainte-Anne,école,9 rue de Belfort,Heimsbrunn,68129,68,Grand Est,1er quart 19e siècle; 1er quart 20e siècle,,47.727884,7.223217,ban,0.956,9 Rue de Belfort 68990 Heimsbrunn,ok,https://pop.culture.gouv.fr/notice/merimee/IA00051558
IA00051652,Hôpital Sainte-Anne (Malestroit),hôpital,faubourg Sainte Anne,Malestroit,56124,56,Bretagne,14e siècle; 18e siècle; 2e quart 19e siècle,,47.80857391713978,-2.384463409662385,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/IA00051652
IA00051779,Ecole dite Ecole de Charité,école,rue de la Motte,Rambouillet,78517,78,Île-de-France,4e quart 18e siècle,,48.649199,1.818086,ban,0.965,Rue de la Motte 78120 Rambouillet,ok,https://pop.culture.gouv.fr/notice/merimee/IA00051779
IA00051785,Hôpital dit Pavillon de Toulouse,hôpital,8 rue de la Motte,Rambouillet,78517,78,Île-de-France,2e quart 18e siècle,,48.647453,1.818357,ban,0.965,8 Rue de la Motte 78120 Rambouillet,ok,https://pop.culture.gouv.fr/notice/merimee/IA00051785
IA00051861,Léproserie Saint-Fiacre,maladrerie,,Saint-Léger-en-Yvelines,78562,78,Île-de-France,13e siècle,,48.7338,1.7646,commune,,centroïde de la commune,ok,https://pop.culture.gouv.fr/notice/merimee/IA00051861
